case,run_id,turn,character,prob_correct,brier
case2,run_20260115_191025,1,holmes,0.002733123954385519,0.9945412278175354
case2,run_20260115_191025,2,holmes,0.004196153022348881,0.9916252493858337
case2,run_20260115_191025,3,holmes,0.004301024600863457,0.9914164543151855
case2,run_20260115_191025,4,holmes,0.762058436870575,0.05661618709564209
case2,run_20260115_191025,1,marple,0.9936249256134033,4.0641574742039666e-05
case2,run_20260115_191025,2,marple,0.0016460296465083957,0.9967105984687805
case2,run_20260115_191025,3,marple,0.8271975517272949,0.029860686510801315
case2,run_20260115_191025,4,marple,0.008937445469200611,0.9822050333023071
case2,run_20260115_191025,1,poirot,0.13326489925384521,0.7512297630310059
case2,run_20260115_191025,2,poirot,0.005327602848410606,0.9893732070922852
case2,run_20260115_191025,3,poirot,0.759189784526825,0.057989560067653656
case2,run_20260115_191025,4,poirot,0.9251145720481873,0.005607827100902796
case2,run_20260115_191122,1,holmes,0.003474957775324583,0.9930621981620789
case2,run_20260115_191122,2,holmes,0.0034738117828965187,0.9930644035339355
case2,run_20260115_191122,1,marple,0.9946130514144897,2.9019214707659557e-05
case2,run_20260115_191122,2,marple,0.6155784130096436,0.14777995645999908
case2,run_20260115_191122,1,poirot,0.2657019793987274,0.5391935110092163
case2,run_20260115_191122,2,poirot,0.01552483532577753,0.969191312789917
case2,run_20260115_191251,1,holmes,0.0016971086151897907,0.9966086149215698
case2,run_20260115_191251,2,holmes,0.0028969161212444305,0.9942145943641663
case2,run_20260115_191251,3,holmes,0.004115593153983355,0.9917857646942139
case2,run_20260115_191251,4,holmes,0.9319507479667664,0.004630700685083866
case2,run_20260115_191251,1,marple,0.0016162469983100891,0.9967701435089111
case2,run_20260115_191251,2,marple,0.0017712885746732354,0.9964606165885925
case2,run_20260115_191251,3,marple,0.0017158592818304896,0.9965712428092957
case2,run_20260115_191251,4,marple,0.9848804473876953,0.0002286008675582707
case2,run_20260115_191251,1,poirot,0.9956681728363037,1.876472742878832e-05
case2,run_20260115_191251,2,poirot,0.006037441547960043,0.9879616498947144
case2,run_20260115_191251,3,poirot,0.003885480808094144,0.9922440648078918
case2,run_20260115_191251,4,poirot,0.8252999782562256,0.03052009828388691
case2,run_20260115_191348,1,holmes,0.9783003926277161,0.0004708729684352875
case2,run_20260115_191348,2,holmes,0.005286327563226223,0.9894552826881409
case2,run_20260115_191348,3,holmes,0.9876337051391602,0.00015292524767573923
case2,run_20260115_191348,4,holmes,0.9907524585723877,8.551702194381505e-05
case2,run_20260115_191348,1,marple,0.0014918082160875201,0.9970186352729797
case2,run_20260115_191348,2,marple,0.0016655608778819442,0.996671736240387
case2,run_20260115_191348,3,marple,0.0010897115571424365,0.9978218078613281
case2,run_20260115_191348,4,marple,0.0011858006473630667,0.9976298809051514
case2,run_20260115_191348,1,poirot,0.9584847688674927,0.0017235144041478634
