case,run_id,turn,character,pos,neg,neu,compound
case3,run_20260115_193232,3,poirot,0.046,0.099,0.855,-0.901
case3,run_20260115_193232,4,holmes,0.088,0.151,0.762,-0.933
case3,run_20260115_193232,4,marple,0.024,0.086,0.89,-0.867
case3,run_20260115_193232,4,poirot,0.052,0.105,0.843,-0.928
case3,run_20260115_195403,1,holmes,0.062,0.128,0.81,-0.918
case3,run_20260115_195403,1,marple,0.065,0.145,0.79,-0.888
case3,run_20260115_195403,1,poirot,0.051,0.095,0.854,-0.807
case3,run_20260115_195403,2,holmes,0.061,0.15,0.789,-0.974
case3,run_20260115_195403,2,marple,0.086,0.105,0.809,-0.712
case3,run_20260115_195403,2,poirot,0.066,0.055,0.879,-0.188
case3,run_20260115_195403,3,holmes,0.052,0.116,0.831,-0.957
case3,run_20260115_195403,3,marple,0.094,0.097,0.809,-0.542
case3,run_20260115_195403,3,poirot,0.045,0.119,0.837,-0.977
case3,run_20260115_195239,1,holmes,0.097,0.075,0.828,-0.202
case3,run_20260115_195239,1,marple,0.085,0.098,0.817,-0.76
case3,run_20260115_195239,1,poirot,0.048,0.11,0.841,-0.866
case3,run_20260115_195239,2,holmes,0.04,0.105,0.855,-0.945
case3,run_20260115_195239,2,marple,0.0,0.111,0.889,-0.88
case3,run_20260115_195239,2,poirot,0.035,0.102,0.863,-0.938
case3,run_20260115_195239,3,holmes,0.06,0.065,0.875,-0.459
case3,run_20260115_195239,3,marple,0.056,0.127,0.817,-0.942
case3,run_20260115_195239,3,poirot,0.055,0.132,0.813,-0.972
case3,run_20260115_195239,4,holmes,0.012,0.089,0.899,-0.97
case3,run_20260115_195239,4,marple,0.037,0.158,0.804,-0.992
case3,run_20260115_195239,4,poirot,0.04,0.159,0.801,-0.982
case3,run_20260115_195239,5,holmes,0.025,0.157,0.818,-0.988
case3,run_20260115_195239,5,marple,0.024,0.123,0.853,-0.975
case3,run_20260115_195239,5,poirot,0.048,0.156,0.796,-0.969
